bgg,9954948,8962,184,129
caa,9977222,9140,147,91
cab,9920639,8337,459,259
cac,9873986,10725,254,147
cad,9761251,9628,135,42
cae,9999213,9580,87,45
caf,9827214,9776,162,87
cag,9864240,8837,193,105
cba,9620900,10558,191,133
cbb,9708996,7850,60,26
cbc,9776504,7784,315,200
cbd,9957009,9794,291,92
cbe,9528436,7477,150,87
cbf,9915657,9543,284,165
cbg,9755731,8214,299,124
cca,9797574,7435,132,50
ccb,9932839,10593,76,34
ccc,9735216,8195,313,159
ccd,9754644,10617,219,112
cce,9722697,8845,372,226
ccf,9827101,9574,311,191
ccg,9719199,8140,144,102
cda,9646511,8745,284,154
cdb,9959587,11601,88,49
cdc,9968037,9096,112,68
cdd,9921309,6836,46,19
cde,9967233,10460,222,109
cdf,9994053,7425,27,12
cdg,9969298,9091,476,280
cea,9869485,8681,70,19
ceb,9758638,7612,195,98
cec,9968967,8916,288,171
ced,9884427,8152,254,145
cee,9647826,7667,233,122
cef,9871222,10959,323,184
ceg,9918761,8650,103,49
cfa,9323969,9325,324,176
cfb,9969139,8751,195,113
cfc,9765458,8683,121,67
cfd,9939843,9634,289,153
cfe,9836175,7977,186,149
cff,9993435,9001,201,71
cfg,9989004,7428,13,6
cga,9864108,9494,23,8
cgb,9747354,9912,299,51
cgc,9979032,7497,166,115
cgd,9346892,8768,428,274
cge,9853831,8913,81,29
cgf,9981707,10241,726,484
cgg,9960615,9229,309,159
daa,9746181,8628,30,18
dab,9988951,11007,215,121
dac,9832475,9039,1227,436
dad,9872883,10768,274,168
dae,9998963,8207,610,408
daf,9957455,9917,21,8
dag,9922451,9079,447,235
dba,9987394,9771,182,119
dbb,9872435,9667,243,114
dbc,9886741,8583,48,28
dbd,9989874,8626,1310,466
dbe,9958674,7306,146,73
dbf,9592201,9371,924,553
dbg,9858920,8782,16,6
dca,9812803,10100,273,188
dcb,9730367,9601,218,89
dcc,9971754,9370,62,16
dcd,9985824,7654,271,144
dce,9909730,8051,167,114
dcf,9526231,9481,359,153
dcg,9980466,9063,64,43
dda,9762659,8667,300,83
ddb,9955121,9254,385,205
ddc,9939488,7651,321,136
ddd,9979294,9589,14,5
dde,9931317,10271,1309,644
ddf,9997052,7892,434,284
ddg,9906119,9041,182,88
dea,9768643,8735,292,95
deb,9979068,8950,153,85
dec,9886694,8366,99,39
ded,9341309,10666,205,65
dee,9857895,9071,229,141
def,9767212,9508,260,55
deg,9978622,8576,306,192
dfa,9822540,10407,147,101
dfb,9868631,8082,797,410
dfc,9878435,8449,99,40
dfd,9698091,9654,164,97
dfe,9967200,8928,481,315
dff,9920532,8089,362,245
dfg,9967350,8362,83,51
dga,9972646,9052,261,144
dgb,9853394,8464,41,13
dgc,9966219,10204,94,38
dgd,9871778,10314,766,305
dge,9831298,10445,54,19
dgf,9864836,9894,257,130
dgg,9944696,9298,393,186
eaa,9757567,9655,531,287
eab,9909919,7914,136,52
eac,9782032,8637,10,5
ead,9754442,8986,146,78
eae,9800560,8060,117,45
eaf,9908512,9457,334,150
eag,9886895,7692,295,119
eba,9858841,8202,337,235
ebb,9952579,7896,235,116
ebc,9418971,7635,293,156
ebd,9659549,9500,8,5
ebe,9853860,8790,495,195
ebf,9904156,8657,221,126
ebg,9941189,8981,204,118
eca,9951579,9534,244,148
ecb,9973578,8715,10,5
ecc,9919200,9954,548,289
ecd,9927722,7565,89,38
ece,9935218,9303,133,44
ecf,9907962,9282,58,26
ecg,9876384,7501,301,193
eda,9811366,9335,409,205
edb,9964427,8656,108,45
edc,9418374,8833,180,116
edd,9991384,7996,290,125
ede,9950031,7991,218,162
edf,9968071,8269,541,313
edg,9945318,9096,163,93
eea,9565352,8512,85,30
eeb,9783649,9572,193,79
eec,9914051,8850,83,24
eed,9999281,8748,83,40
eee,9860881,8409,12,5
eef,9745490,9341,672,301
eeg,9902227,7953,199,80
efa,9853017,6800,157,103
efb,9926916,9580,128,49
efc,9901780,8124,148,105
efd,9856626,9098,58,14
efe,9782382,9930,296,92
eff,9787076,11100,205,96
efg,9965240,8233,145,73
ega,9976316,11861,260,78
egb,9849281,7464,216,150
egc,9751471,8907,409,238
egd,9880971,7887,59,45
ege,9924409,9452,185,83
egf,9899692,10126,21,8
egg,9900133,7629,232,142
faa,9786072,8367,315,191
fab,9959519,8336,15,5
fac,9980758,9576,174,48
fad,9950329,8601,545,279
fae,9952502,9452,294,217
faf,9862858,9873,214,84
fag,9711737,9396,375,265
fba,9367268,9053,115,65
fbb,9984304,9780,74,34
fbc,9147065,9279,23,8
fbd,9751691,10950,863,501
fbe,9973900,8379,108,43
fbf,9998984,8419,630,253
fbg,9271136,11027,155,67
fca,9875223,7268,179,79
fcb,9821017,9725,184,92
fcc,9911896,8848,12,5
fcd,9923302,8842,299,186
fce,9727108,10255,684,404
fcf,9989516,8571,199,106
fcg,9936771,8340,32,8
fda,9911190,9225,338,218
fdb,9791848,7826,5,5
fdc,9923725,7182,252,171
fdd,9721343,8521,8,5
fde,9949468,8889,164,109
fdf,9962576,8298,292,119
fdg,9859490,9007,125,63
fea,9759067,8757,164,46
feb,9834445,9469,240,153
fec,9777825,8904,311,155
fed,9896704,9679,1298,689
fee,9830032,9911,684,351
fef,9957627,8025,75,38
feg,9538853,8545,317,180
ffa,9848369,8642,417,149
ffb,9932120,7793,123,69
ffc,9681393,9146,157,62
ffd,9973077,8139,134,54
ffe,9895697,7138,240,109
fff,9990215,9155,160,30
ffg,9879581,10037,748,457
fga,9781144,8578,212,137
fgb,9990719,9848,109,64
fgc,9897510,9410,65,25
fgd,9857121,8249,404,130
fge,9995360,8817,203,105
fgf,9916856,7140,355,209
fgg,9401990,8396,412,288
gaa,9948030,6850,155,55
gab,9541622,8134,200,105
gac,9931102,8787,247,78
gad,9510838,9208,141,94
gae,9816105,6806,288,189
gaf,9378750,11330,404,243
gag,9972323,9558,440,185
gba,9924085,9204,77,34
gbb,9708222,7656,303,195
gbc,9684832,9448,21,8
gbd,9837162,7866,61,40
gbe,9891749,8512,317,183
gbf,9844195,9103,359,174
gbg,9880349,8899,246,175
gca,9973483,9840,186,100
gcb,9981744,9723,225,109
gcc,9483532,10170,154,99
gcd,9796297,7354,47,16
gce,9910007,9445,298,134
gcf,9831738,8930,313,136
gcg,9986345,8606,282,156
gda,9592908,9201,208,145
gdb,9680709,9177,468,286
gdc,9894389,10543,240,106
gdd,9840617,8949,256,161
gde,9912184,8971,337,155
gdf,9728160,9608,80,36
gdg,9969612,8192,160,82
gea,9916574,8088,170,82
geb,9681125,9872,93,32
gec,9761618,9363,10,5
ged,9715943,7442,9,5
gee,9817890,10096,44,11
gef,9818493,8591,337,158
geg,9596214,7685,418,225
gfa,9163079,8752,15,8
gfb,9969632,8332,223,138
gfc,9700180,7963,98,33
gfd,9722462,8201,102,37
gfe,9582549,10035,241,83
gff,9742549,7977,149,79
gfg,9870253,8611,225,117
gga,9975612,8847,514,297
ggb,9972110,10814,187,86
ggc,9919205,9511,198,136
ggd,9853878,9506,297,102
gge,9809025,9628,596,273
ggf,9690634,9237,402,207
ggg,9967459,8350,35,10
